Location,Site,Date,Method,Visit,Wind.speed,Wind.direction,Temp,Sunshine,Time,Species,Species.1,Common.name,Caste,Number,Forage.plant,Pollen,ID,ITD,Hive.Distance,Hive.Density,Buildings,Impervious,Bee.habitat,Floral.Units,Ex.Nests.BeeHabitat,Rail,Total.Water,Building.Vol,ITD.error
East,BG,11/05/2021,Transect,2,6,SE,22,S,13:40:00,Bombus terrestris,Buff,Buff tail,W,1,Alkanet,N,20210511_BG_Buff_003,5.600969273,300,1,21.53,48.93,17.83,6024,13,2.79,6.61,4,2.822973584
East,BG,11/05/2021,Transect,2,6,SE,22,S,13:40:00,Bombus terrestris,Buff,Buff tail,W,1,Alkanet,Y,20210511_BG_Buff_004,5.400659505,300,1,21.53,48.93,17.83,6024,13,2.79,6.61,4,2.927677311
East,BG,26/05/2021,Transect,3,2,NE,17,C,11:40:00,Bombus terrestris,Buff,Buff tail,W,1,Symphytum officinale,N,20210526_BG_Buff_004,5.027004746,300,1,21.53,48.93,17.83,6024,13,2.79,6.61,4,3.914591222
East,BG,26/05/2021,Transect,3,2,NE,17,C,11:40:00,Bombus terrestris,Buff,Buff tail,W,1,Lamium purpureum,Y,20210526_BG_Buff_005,5.814098361,300,1,21.53,48.93,17.83,6024,13,2.79,6.61,4,1.65420181
East,BG,08/07/2021,Transect,6,2,SW,30,C,15:11:00,Bombus terrestris,Buff,Buff tail,W,1,Symphytum,Y,20210529_Bun_Buff_002,5.527344498,300,1,21.53,48.93,17.83,6024,13,2.79,6.61,4,6.081667724
East,BG,23/06/2021,Transect,4,0,NA,32,S,12:20:00,Bombus terrestris,Buff,Buff tail,W,1,Lavender,N,20210623_BG_Buff_001,4.419200306,300,1,21.53,48.93,17.83,6024,13,2.79,6.61,4,5.059892792
East,BG,23/06/2021,Transect,4,0,NA,32,S,12:20:00,Bombus terrestris,Buff,Buff tail,W,1,Lavender,N,20210623_BG_Buff_002,4.823361244,300,1,21.53,48.93,17.83,6024,13,2.79,6.61,4,2.852122368
East,BG,23/06/2021,Transect,4,0,NA,32,S,12:20:00,Bombus terrestris,Buff,Buff tail,W,1,Lavender,N,20210623_BG_Buff_003,4.885756853,300,1,21.53,48.93,17.83,6024,13,2.79,6.61,4,3.179082593
East,BG,23/06/2021,Transect,4,0,NA,32,S,12:20:00,Bombus terrestris,Buff,Buff tail,W,1,Lavender,N,20210623_BG_Buff_004,3.953216561,300,1,21.53,48.93,17.83,6024,13,2.79,6.61,4,6.260405157
East,BG,23/06/2021,Transect,4,0,NA,32,S,12:20:00,Bombus terrestris,Buff,Buff tail,W,1,Lavender,N,20210623_BG_Buff_005,5.01395933,300,1,21.53,48.93,17.83,6024,13,2.79,6.61,4,3.235961776
East,BG,23/06/2021,Transect,4,0,NA,32,S,12:20:00,Bombus terrestris,Buff,Buff tail,W,1,Lavender,N,20210623_BG_Buff_007,5.620431396,300,1,21.53,48.93,17.83,6024,13,2.79,6.61,4,2.886785657
East,BG,23/06/2021,Transect,4,0,NA,32,S,12:20:00,Bombus terrestris,Buff,Buff tail,W,1,Lavender,Y,20210623_BG_Buff_008,5.709625925,300,1,21.53,48.93,17.83,6024,13,2.79,6.61,4,2.16816628
East,BG,23/06/2021,Transect,4,0,NA,32,S,12:20:00,Bombus terrestris,Buff,Buff tail,W,1,Lavender,N,20210623_BG_Buff_009,5.598343949,300,1,21.53,48.93,17.83,6024,13,2.79,6.61,4,3.22761716
East,BG,23/06/2021,Transect,4,0,NA,32,S,12:20:00,Bombus terrestris,Buff,Buff tail,W,1,Lavender,N,20210623_BG_Buff_010,6.226002401,300,1,21.53,48.93,17.83,6024,13,2.79,6.61,4,2.562327334
East,BG,23/06/2021,Transect,4,0,NA,32,S,12:20:00,Bombus terrestris,Buff,Buff tail,W,1,Lavender,N,20210623_BG_Buff_011,6.517826866,300,1,21.53,48.93,17.83,6024,13,2.79,6.61,4,1.511064655
East,BG,23/06/2021,Transect,4,0,NA,32,S,12:20:00,Bombus terrestris,Buff,Buff tail,W,1,Lavender,N,20210623_BG_Buff_012,5.309226497,300,1,21.53,48.93,17.83,6024,13,2.79,6.61,4,3.403379194
East,BG,23/06/2021,Transect,4,0,NA,32,S,12:20:00,Bombus terrestris,Buff,Buff tail,W,1,Lavender,N,20210623_BG_Buff_013,5.957588259,300,1,21.53,48.93,17.83,6024,13,2.79,6.61,4,1.653161879
East,BG,23/06/2021,Transect,4,0,NA,32,S,12:20:00,Bombus terrestris,Buff,Buff tail,W,1,Lavender,N,20210623_BG_Buff_014,4.392978469,300,1,21.53,48.93,17.83,6024,13,2.79,6.61,4,4.479573208
East,BG,23/06/2021,Transect,4,0,NA,32,S,12:20:00,Bombus terrestris,Buff,Buff tail,W,1,Lavender,N,20210623_BG_Buff_015,5.386818727,300,1,21.53,48.93,17.83,6024,13,2.79,6.61,4,1.181395059
East,BG,23/06/2021,Transect,4,0,NA,32,S,12:20:00,Bombus terrestris,Buff,Buff tail,W,1,Lavender,N,20210623_BG_Buff_016,5.067230309,300,1,21.53,48.93,17.83,6024,13,2.79,6.61,4,1.898017545
East,BG,23/06/2021,Transect,4,0,NA,32,S,12:20:00,Bombus terrestris,Buff,Buff tail,W,1,Lavender,N,20210623_BG_Buff_017,5.038552632,300,1,21.53,48.93,17.83,6024,13,2.79,6.61,4,2.730311162
East,BG,23/06/2021,Transect,4,0,NA,32,S,12:20:00,Bombus terrestris,Buff,Buff tail,W,1,Lavender,N,20210623_BG_Buff_019,5.130760935,300,1,21.53,48.93,17.83,6024,13,2.79,6.61,4,5.238864265
East,BG,23/06/2021,Transect,4,0,NA,32,S,12:20:00,Bombus terrestris,Buff,Buff tail,W,1,Lavender,N,20210623_BG_Buff_020,3.563175045,300,1,21.53,48.93,17.83,6024,13,2.79,6.61,4,3.86083095
East,BG,30/06/2021,Transect,5,4,NW,18,C,10:34:00,Bombus terrestris,Buff,Buff tail,W,1,Lavender,N,20210630_BG_Buff_001,5.610445059,300,1,21.53,48.93,17.83,6024,13,2.79,6.61,4,4.002447459
East,BG,30/06/2021,Transect,5,4,NW,18,C,10:34:00,Bombus terrestris,Buff,Buff tail,W,1,Lavender,N,20210630_BG_Buff_002,5.514359879,300,1,21.53,48.93,17.83,6024,13,2.79,6.61,4,1.824745958
East,BG,30/06/2021,Transect,5,4,NW,18,C,10:34:00,Bombus terrestris,Buff,Buff tail,W,1,Lavender,N,20210630_BG_Buff_003,6.171869511,300,1,21.53,48.93,17.83,6024,13,2.79,6.61,4,1.630349748
East,BG,30/06/2021,Transect,5,4,NW,18,C,10:34:00,Bombus terrestris,Buff,Buff tail,W,1,Lavender,N,20210630_BG_Buff_004,4.850495348,300,1,21.53,48.93,17.83,6024,13,2.79,6.61,4,2.836167341
